Topic,Count,Name,Representation,Representative_Docs,OllamaName
0,16,0_riaprire_prossimi_ringraziarli zona_rimettere,"['riaprire', 'prossimi', 'ringraziarli zona', 'rimettere', 'venuto appositamente', 'finiti', 'restituire', 'città', 'ripartire', '000']","[""siamo al suo fianco. Sembra normale, ma fino a un'ora fa non era normale. Grazie al lavoro di tecnici, ingegneri e operai si è riaperta l'A14, l'autostrada che era stata bloccata per la frana fra Puglia, Molise e Nord e quindi vedete da neanche un'oretta stanno ritransitando macchine e camion. Poco fa siamo stati a fare un sopralluogo con i vigili del fuoco e gli amministratori locali sul ponte del Trinio che è crollato, Anas ha già pronto il progetto e quindi quando verrà dissequestrato si parte con l'appalto e con i lavori per ricostruire. Si ipotizzava di dover tenere chiusa questa insieme ad altre strade statali colpite dal maltempo per alcune settimane o addirittura alcuni mesi. Grazie al lavoro di chi giorno e notte si è impegnato e sono venuto appositamente, oltre ai soldi per far ripartire tutto, per ringraziarli, questa zona d'Italia è stata finalmente ricollegata ed è"", ""Oggi in Molise, tra Montenero di Bisaccia e Petacciato, per vedere con i miei occhi i danni del maltempo e seguire da vicino gli interventi già avviati. Al ponte sul Trigno ho trovato una situazione impressionante, ma anche una macchina operativa pronta a ricostruire: l obiettivo è restituire un collegamento sicuro al territorio entro l anno. Intanto, sulla Autostrada A14 e sulle strade locali si sta tornando alla normalità grazie a un lavoro rapido e concreto che ha evitato l isolamento del territorio. Ho incontrato sindaci, amministratori e soccorritori per fare il punto e garantire risposte immediate a cittadini e imprese. Grazie a tecnici, operai e a chi sta lavorando senza sosta, giorno e notte: il Molise reagisce, e noi siamo al suo fianco. Sembra normale, ma fino a un'ora fa non era normale. Grazie al lavoro di tecnici, ingegneri e operai si è riaperta l'A14, l'autostrada che era stata"", ""assoluto da lavoratori, pendolari e studenti. E col cofinanziamento del Ministero dei Trasporti, finalmente, entro la fine di quest'anno, sarà completata tutta la corsia protetta della 90-91. Alle mie spalle il nuovo Lido che sta nascendo. Si risparmierà il 30% di tempo di percorrenza. Si pianteranno 400 nuovi alberi e si sistemeranno anche 6 piazze. Ringrazio le imprese che si aumentano del costo, giustamente, del petrolio e quindi del gasolio, ma anche del bitume. Motivo per cui condivido le richieste che arrivano da tante delle imprese di togliere le sanzioni nei confronti della Russia. E questi sono gli operai e i tecnici al lavoro, da milanese, da italiano. Questo è uno dei tanti cantieri che, dopo anni di mancati tentativi e di mancate promesse, finalmente sta arrivando alla fine. Fatto!""]",Riaprire / Prossimi
1,10,1_milano democrazia_democrazia libertà_paura europa_tutta europa,"['milano democrazia', 'democrazia libertà', 'paura europa', 'tutta europa', 'libertà', 'europa padroni', 'europa', 'senza paura', 'dico', 'venire']","[""La sinistra non si smentisce mai: se non la pensi come loro, vorrebbero tapparti la bocca. A Milano abbiamo visto di tutto, ma per il PD l unico problema siamo noi che scendiamo in piazza con le famiglie. Non ci faremo intimidire: chi sceglie la libertà non ha paura di nessuno. Ci vediamo in Piazza Duomo sabato 18 aprile alle 15! E perché per la sinistra chiunque non la pensi come loro deve stare zitto. Io a Milano ho visto manifestazioni che hanno distrutto pezzi di città e noi portiamo in piazza le famiglie. Ci sarà anche in piazza chi ritiene che l'anno prossimo sia l'ora di cambiare dopo 15 anni di sinistra. Non ci sarà il PD, però che chiedano di vietare la manifestazione si può fare in Venezuela, si può fare in Iran. E veramente, fossi loro mi imbarazzerei per solo pensare di vietare il libero pensiero sotto"", ""L'evento del 18 aprile a Milano? Ci hanno dato dei razzisti, dei sessisti, le cose più astruse. Il presidente del Consiglio comunale di Milano chiede censure: questo è gravissimo, deve rappresentare tutti, anche me. E Sala non ha aperto bocca. La sinistra rincorre il fascismo, questa è una vera prova di regime. Sabato 18 aprile alle 15, in piazza Duomo a Milano per la democrazia e la libertà. Vi aspettiamo! Intervista a x il Giornale, oa ail! L evento del 18 aprile a Milano? Ci hanno dato dei razzisti, dei sessisti, le cose più astruse. II presidente del Consiglio comunale di Milano chiede censure, questo è gravissimo, deve rappresentare tutti, anche me. E Sala non ha aperto bocca. La sinistra rincorre il fascismo, questa è una vera prova di regime."", 'Pugni chiusi sulle note di Bella Ciao Loro, il 18 aprile, in Piazza Duomo a Milano NON CI SARANNO. Ci saremo noi: patrioti da tutta Europa, uniti, fieri delle nostre tradizioni e delle nostre radici, pronti a difendere i nostri popoli e i nostri Paesi dall immigrazione clandestina. Lo diremo forte, chiaro e senza paura: REMIGRAZIONE per chi delinque e per chi vuole imporre modelli culturali incompatibili con i nostri valori. In Europa padroni a casa nostra! Queste sono le piazze della sinistra. Loro il 18 aprile in piazza Duomo a Milano non ci saranno. Senza paura, in Europa padroni a casa nostra.']",Milano Democrazia / Democrazia Libertà
2,9,2_tutta italia_italia ricollegata_italia_italiano,"['tutta italia', 'italia ricollegata', 'italia', 'italiano', 'zona italia', 'vittoria', 'tutta europa', 'ringraziarli zona', 'europa', 'orgoglio']","['Anche oggi quanti sorrisi, domande, entusiasmo, strette di mano e volantini esauriti nei 1500 gazebo della Lega in tutta Italia per migliorare la Giustizia con il SÌ al referendum del 22 e 23 marzo. GRAZIE alle migliaia di militanti e sostenitori che hanno dedicato tempo, energie e passione in questo splendido fine settimana. La Lega c è e cresce!', 'Dicono che Correggio (Reggio Emilia) sia rossa , ma stamattina alla Fiera di San Giuseppe ho trovato un accoglienza straordinaria! Volantini esauriti, ragazzi che chiedevano adesivi e braccialetti, signore che chiedevano info sul Referendum, tante foto, strette di mano e sorrisi. E così, ieri e oggi, ai gazebo in 1500 piazze in tutta Italia. Questa è la Lega Trova il tuo gazebo su: legaonline.it/gazebo', 'Questo fine settimana 1500 gazebo Lega in 1500 piazze in tutta Italia, per spiegare le ragioni del SÌ al referendum. Saremo tantissimi. Passa a trovarci: cerca il gazebo più vicino a te su legaonline.it/gazebo! >) REFERENDUM COSTITUZIONALE 2026 6 si vora DOMENICA 22 ELUNEDÌ 23 MARZO TROVA IL GAZEBO PIÙ VICINO A TE SU: legaonline.it/gazeho']",Tutta Italia / Italia Ricollegata
3,9,3_migliaia italiani_milioni italiani_italia_italiani,"['migliaia italiani', 'milioni italiani', 'italia', 'italiani', 'politica vero', 'politico importante', 'politici', 'italiano', 'magistratura', 'politica']","[""Vi ripropongo la mia intervista di ieri sera a Cinque Minuti . Buona giornata Amici 5 minuti per noi. Non è un derby politici magistrati, perché negli ultimi anni 30.000 italiani normali, non politici o giornalisti, sono stati arrestati ingiustamente, vita rovinata e nessuno ne ha pagato la conseguenza. Sto parlando di chi abita al Giambellino a Milano, a Torbella Monaco, a San Salvario a Torino, quindi commercianti, artigiani, piccoli imprenditori, operai, insegnanti, vita rovinata e nessuno ne ha mai pagato le conseguenze. Quindi il referendum che istituisce un'alta corte indipendente, che sanziona i magistrati che sbagliando rovinano la vita a migliaia di italiani, riguarda tutti, non riguarda la politica e la magistratura. Eppure il no vi accusa di voler asservire la magistratura alla politica. Ma è vero l'esatto contrario. Faccio un altro esempio che riguarda la vita di tutti i giorni a chi è rientrato a casa dall'ufficio, dalla"", ""Molto semplicemente: chi vota NO pensa che la giustizia italiana vada bene così com è, con i suoi tempi infiniti, i processi che non finiscono mai e gli errori che distruggono vite. Chi vota SÌ, invece, chiede responsabilità. Perché negli ultimi anni trentamila italiani sono finiti in carcere da innocenti, rovinati. E oggi i magistrati, a differenza di qualsiasi altro lavoratore, vengono promossi automaticamente, indipendentemente da come lavorano. Con il SÌ non si cancella il passato, ma si costruisce un futuro più giusto: chi sbaglia paga, anche nella magistratura. COME TUTTI GLI ALTRI LAVORATORI IN ITALIA ENMIER SALVINI Molto semplicemente chi vota no ritiene che la giustizia italiana vada bene così com'è, con i tempi, con i processi, con le sentenze sbagliate, chi vota sì, faccio un esempio su tutti, ritiene che anche i magistrati se sbagliano e mettono in galera migliaia di italiani, 30.000 italiani negli ultimi anni sono"", ""sentenze sbagliate, chi vota sì, faccio un esempio su tutti, ritiene che anche i magistrati se sbagliano e mettono in galera migliaia di italiani, 30.000 italiani negli ultimi anni sono stati buttati in carcere per errore e rovinati, ecco i magistrati che a differenza di tutti gli altri lavoratori in Italia hanno le promozioni automatiche dopo tot anni, sia che lavorino tanto sia che lavorino poco, vincono i processi, perdono i processi, vanno in ufficio o non vanno in ufficio, vengono promossi, ecco con l'alta corte gli errori a carico degli italiani per bene vengono sanzionati, quindi il sì non riporta a casa quei tre bambini, però il sì responsabilizza di più i magistrati che se sbagliano ne devono pagare le conseguenze come tutti gli altri lavoratori in Italia.""]",Migliaia Italiani / Milioni Italiani
4,8,4_ritiene giustizia_magistratura_politicizzato volete_politicizzato,"['ritiene giustizia', 'magistratura', 'politicizzato volete', 'politicizzato', 'sa magistrati', 'giustizia', 'magistrati', 'procuratori', 'giudici', 'tribunali']","[""che in 22 paesi europei su 27 c'è già la riforma che gli italiani possono scegliere col sì domenica. Molto semplicemente, se si vuole cambiare, si vota sì. Se qualcuno ritiene che la giustizia vada bene così come è oggi, vota no. E' convinto che il sorteggio svincoli davvero i magistrati dal peso delle correnti? Assolutamente sì, perché oggi sono le correnti che decidono chi viene promosso, chi viene nominato in quel posto, in quella procura. Poi faccio un esempio. Non ricordo che a sinistra o in qualche tribunale qualcuno si sia scandalizzato quando io, da ministro dell'interno, sono stato mandato a processo per aver bloccato gli sbarchi da tre giudici estratti a sorte. Perché il tribunale che giudica i ministri è composto col sorteggio. Io non mi sono lamentato, ho affrontato cinque anni di processo e sono stato assolto. Ecco, non capisco perché queste belle anime si siano svegliate"", ""asservire la magistratura alla politica. Ma è vero l'esatto contrario. Faccio un altro esempio che riguarda la vita di tutti i giorni a chi è rientrato a casa dall'ufficio, dalla fabbrica oggi. I magistrati sono gli unici che hanno promozioni automatiche nel tempo, a prescindere da quanto producono e da quanto bene lavorano. Cioè ogni tot anni, e qua non c'entra niente la politica, vengono promossi fino al grado apicale. Tenga presente che negli ultimi anni c'è stato un solo trasferimento su migliaia di errori giudiziali. E' chiaro che se sono i giudici a dover sanzionare altri giudici e poi vanno a pranzo e a cena insieme, è difficile che ci sia il merito nei tribunali. E ricordo, sotto voce, che in 22 paesi europei su 27 c'è già la riforma che gli italiani possono scegliere col sì domenica. Molto semplicemente, se si vuole cambiare, si vota sì. Se qualcuno"", ""bene, che hanno scelto di votare sì. E richiede davvero che un'alta corte disciplinare, appunto composta in maggioranza assoluta da magistrati svincolati da due consigli superiori, possa davvero essere indipendente dal gioco, anche lì, delle correnti. Sì, e do un numero a sostegno e l'offro chi è a casa. Negli ultimi nove anni sono stati risarciti con denaro pubblico, cioè di chi è a casa, 6.485 cittadini italiani innocenti arrestati per sbaglio. Lei sa quanti magistrati sono stati sanzionati per questi 6.485 italiani rovinati? 10, 9 censurati, che vuol dire un buffetto, e uno trasferito. Si ricorda un cittadino italiano, un magistrato licenziato? Negli ultimi anni si fa fatica. Ecco, vorremmo che come per tutti gli altri lavoratori e lavoratrici, chi sbaglia e toglie la libertà e rovina la vita, la famiglia, il lavoro, l'azienda, a decine di migliaia di persone, quantomeno non venga promosso automaticamente da suoi colleghi compiacenti.""]",Ritiene Giustizia / Magistratura
5,8,5_auguri papà_papà_famiglia_matteo salvini,"['auguri papà', 'papà', 'famiglia', 'matteo salvini', 'stesso', 'rispetto', 'detto', 'bambini', 'onore', 'figli']","['forma, a mio avviso e con tutto il rispetto per chi ha fatto queste scelte, di violenza istituzionale. Quindi, questo per dire, ministro, non mi sembra, non mi sembra. Mi venga a dire qualcuno che in assenza di abusi, droga o violenza, che non mi sembra fossero oggetto della discussione, che questi tre bimbi stiano meglio adesso rispetto a quattro mesi fa, mi sembra molto difficile a sostenere.', ""I tre bimbi della famiglia nel bosco stanno meglio adesso rispetto a quattro mesi fa? Mi sembra molto difficile da sostenere. Come ho detto ieri a Ore 14 da Milo Infante, il mio obiettivo è riunire questa famiglia. L'OBIETTIVO E RIUNIRE LIGHT, juve 14:61] FAMIGLIA DEL BOSCO, IN DIRETTA IL VICEPREMIER MATTEO SALVINI | LA FAMIGLIA NEL BOSCO Il mio obiettivo, ripeto, è riunire questa famiglia. Ovviamente da ministro non posso prevaricare le scelte del Tribunale dei minorenni, dei giudici, degli assistenti sociali, però posso impegnarmi, posso parlare con gli avvocati, con i periti, con i garanti dell'infanzia, con gli esperti, con gli psichiatri, per cercare di portare il mio mattoncino per rimettere insieme questa famiglia. Questa è veramente una forma, a mio avviso e con tutto il rispetto per chi ha fatto queste scelte, di violenza istituzionale. Quindi, questo per dire, ministro, non mi sembra, non mi sembra. Mi"", ""uomini, fa in giro, fa altre cose fuori che siamo d'accordo. Il nostro matrimoniale, la nostra religione, no, non può. E se lo fa? Picchiare. Tu la picchi? Sì. Picchi tua moglie? Sì. Ma per te è normale picchiare una donna? Sì signora, ma la donna questa qua, io sto parlando, ad esempio, mia moglie o mia figlia, no? Loro deve essere un pezzo di me, di mia anima, no? Se questo è un pezzo di me, di mia anima, non senti cosa devi farlo, li picchi. Ma picchi anche tua figlia? Sì. Anche tua figlia, quanti anni ha tua figlia? Mi ha figlia di 17 anni. E l'hai sempre picchiata? Da quando è piccola? Ma fino adesso, fino adesso mai picchiata, perché lei è stata brava, però se non è stata brava, questo è un'idea, un'accogliatura. E secondo voi è una cultura che rispetta la donna? Sì. DATO E""]",Auguri Papà / Papà
6,7,6_salva_coraggio_onore_riportare,"['salva', 'coraggio', 'onore', 'riportare', 'innocenti', 'tutte', 'vita', 'incontrato', 'soccorso', 'prossimi']","['Oggi al MIT ho incontrato il presidente della Regione Molise Roberti e i vertici di FS, Anas, RFI e Autostrade per l Italia per fare il punto sulla situazione nel versante adriatico, colpito duramente dal maltempo. Grazie a tecnici, operai e a tutti coloro che stanno dando il massimo sul campo per riportare alla normalità i territori messi in ginocchio. C è un cauto ottimismo: la frana sembra essersi fermata. Nei prossimi giorni contiamo di riaprire l A14 tra Vasto Sud e Poggio Imperiale, e ripristinare la circolazione ferroviaria già da venerdì. Il nostro impegno è massimo per garantire sicurezza, tempi rapidi e risposte concrete. Domani sarò sul posto per verificare personalmente lo stato degli interventi. Avanti per restituire normalità a cittadini e imprese.', ""Oggi a Roma, in Campidoglio, all evento Proteggere chi viaggia soccorso d emergenza, responsabilità e diritti , promosso dall Autorità di regolazione dei trasporti. Un momento importante di confronto e riflessione: dietro ogni intervento di emergenza ci sono vite, famiglie, storie. Per questo ho voluto ringraziare tutti gli operatori del soccorso d emergenza, donne e uomini che ogni giorno mettono al primo posto gli altri con professionalità, coraggio e umanità. I dati confermano che grazie anche al nuovo Codice della Strada, le vittime degli incidenti sono in calo. Nel 2025 meno morti e meno feriti, anche se c'è ancora molto da fare. Avanti così."", ""Una preghiera per tutte le vittime innocenti uccise da mafia, camorra e ndrangheta: donne, uomini e bambini a cui è stata strappata la vita dalla criminalità organizzata. La memoria è un dovere, ma anche un impegno: trasmetterla alle nuove generazioni perché orrori simili non accadano mai più. Massimo impegno, tolleranza zero e un grazie infinito a chi difende la nostra sicurezza ogni giorno. Giornata della memoria e dell'impegno in ricordo delle vittime innocenti delle mafie""]",Salva / Coraggio
7,6,7_votare_voto_vota_correntizio politicizzato,"['votare', 'voto', 'vota', 'correntizio politicizzato', 'politicizzato volete', 'votate', 'politicizzato', 'ragioni referendum', 'politica', 'referendum']","[""REFERENDUM GIUSTIZIA LA VERITA IN UN MINUTO INA q id | = : eae: iS i ~ a a) >. RA TRA POCO A DRITTO E e (CIO MATTI HM i = % DI SE SI EO SALVII DA ASCOLTARE! Chi vota no a questo referendum vota soltanto nell'illusione di causare un danno al governo. Non ci sono razioni razionali per votare no. In questo paese ogni giorno tre volte al giorno un innocente viene arrestato ingiustamente, sputtanato, privato di reputazione, lavoro, famiglia, futuro, poi assolto e nessuno paga. E' ora che si cominci. E scusate, non è populismo. Sappiamo tutti che non arriva da voi sotto casa tutti i giorni il miglior procuratore possibile. Arriva il più raccomandato da un sistema correntizio politicizzato. Se voi volete che comincino i procuratori a occuparsi del casino che oggi lasciano perdere perché non li porta sui giornali, non li fa fare carriera"", ""Oggi e domani 1500 gazebo Lega in 1500 piazze di tutta Italia, per spiegare le ragioni del SÌ al referendum. Migliaia di militanti. Abbracci, sorrisi, tanto entusiasmo. E tanta voglia di cambiare un sistema che non funziona. Per una Giustizia più giusta, più veloce, più libera, indipendente dai partiti, dalle correnti e dalla politica. Io voto SÌ! Votare sì significa una scelta di libertà e quindi togliere le correnti, lo strapotere della politica e dei partiti che inquinano i tribunali. Così com'è la giustizia non funziona. Il 22 e il 23 marzo io vodo sì per una giustizia più giusta. L'indipendenza e l'autonomia della magistratura. Per liberare la magistratura dalla politica. Le carriere vanno separate. Sì a una separazione netta tra giudice e pubblico ministero. Perché la voce dei cittadini possa veramente contare. Io voto sì. Io voto sì. Io voto sì. Voto sì. Io voterò sì. Io voto sì."", ""Chi sceglie di votare SÌ vota per una giustizia più veloce, più libera, indipendente dai partiti, dalle correnti e dalla politica. Votare SÌ è una scelta di libertà. Oggi e domani 1500 gazebo Lega in 1500 piazze in tutta Italia, per spiegare le ragioni del SÌ al referendum. Passa a trovarci: cerca il gazebo più vicino a te su legaonline.it/gazebo! Chi vota sì vota per una giustizia più veloce, più libera e indipendente dai partiti, dalle correnti e dalla politica. C'è una casta minoritaria dei giudici che decide chi viene promosso, chi viene bocciato, nessuno paga per i suoi errori. Ci sono migliaia di italiani ingiustamente indagati, addirittura arrestati e messi in galera e poi rilasciati con una vita rovinata e nessuno paga le conseguenze di questo. Votare sì significa una scelta di libertà e quindi togliere le correnti, lo strapotere della politica e dei partiti che inquinano i tribunali.""]",Votare / Voto
8,4,8_criminalità_imputato_uccise_carcere,"['criminalità', 'imputato', 'uccise', 'carcere', 'giustizia', 'tolleranza', 'sindaco', 'bravo sindaco', 'cittadino', 'delinque']","[""Questa non è giustizia . Giù le mani dai Carabinieri. @LegaSalviniPremier Morte di Ramy, E PER L'AMICO DEL 19ENNE: E stato omicidio stradale . CORRIERE DELLA SERA"", ""15 anni e 6 mesi di carcere per aver difeso la propria casa e la propria famiglia? Roba da matti. Un uomo che si ritrova un ladro tra le mura domestiche non è un criminale, è una VITTIMA. In un Paese normale, la Giustizia sta col cittadino perbene, non con chi delinque: la difesa è sempre legittima. ANSA: UCCISE UN LADRO ENTRATO IN CASA SUA, Per la Corte d'Assise di Reggio Calabria l'imputato è responsabile di omicidio volontario. @LegaSalviniPremier"", 'Solidarietà al bravo sindaco Moreno Marsetti, minacciato di morte dopo alcune iniziative contro criminalità e baby gang. La Lega e i leghisti non si fanno intimidire! MORENO MARSETTI, IL SINDACO DI MALO (V D MINACCIATO DI MORTE. ILGAZZETTINO']",Criminalità / Imputato
9,3,9_violenza_carcere_uccide_responsabilità,"['violenza', 'carcere', 'uccide', 'responsabilità', 'accoltellata', 'salva', 'poco', 'galera', 'oltre', 'the']","['13 anni. Un bambino. Sconvolgente. Avanti con le nuove norme volute dalla Lega per contrastare il porto e l uso di coltelli a scuola e ovunque. Certo c è anche un grosso problema a casa di troppe famiglie ORA È GRAVISSIMA IN OSPEDALE Uno studente a Trescore Balneario (BG). Bergamo, la violenza è avvenuta poco prima dell inizio delle lezioni. Aveva una maglia con scritto vendetta e una pistola scacciacani nello zaino . in IERI +', 'I dettagli che emergono da questa vicenda sono agghiaccianti. 13 anni, armi, odio, vendetta. Ed è ancora più terrificante che chi compie un gesto del genere sappia di poter restare impunito. Oltre alla stretta sulle armi a scuola voluta dalla Lega, avanti con la nostra proposta di legge per abbassare l età della responsabilità penale. Chi sbaglia, paga. Le armi del 13enne e la maglietta che indossava LAPRESSE > WHERE THE NEWS IS Prof accoltellata a Bergamo, il manifesto del 13enne:', 'Follia! Con la legge Salva Animali , per la quale la Lega si è battuta per anni, sono state introdotte pene più dure e fino a 4 anni di carcere per i delinquenti che maltrattano o uccidono gli animali. Da applicare fino in fondo, senza sconti: multe pesanti e galera per questi infami! ACCADE AD AREZZO: TRAVOLGE E UCCIDE UN CANE PER VENDICARSI DEL PROPRIETARIO CHE LO INVITAVA A RALLENTARE']",Violenza / Carcere
